,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
0,5769,Salisbury,VT,43.914026,-73.10703000000002,-5,1,"43.914026,-73.10703"
1,1085,Westfield,MA,42.133642,-72.75029,-5,1,"42.133642,-72.75029"
2,1340,Colrain,MA,42.673371,-72.73104000000002,-5,1,"42.673371,-72.73104"
3,25728,Huntington,WV,38.413384,-82.277401,-5,1,"38.413384,-82.277401"
4,26035,Colliers,WV,40.352942999999996,-80.55585,-5,1,"40.352943,-80.55585"
5,34230,Sarasota,FL,27.335023,-82.53716899999998,-5,1,"27.335023,-82.537169"
6,34742,Kissimmee,FL,27.995287,-81.259332,-5,1,"27.995287,-81.259332"
7,36279,Wellington,AL,33.862349,-85.89511999999998,-6,1,"33.862349,-85.89512"
8,37020,Bell Buckle,TN,35.616935,-86.39629000000002,-6,1,"35.616935,-86.39629"
9,21787,Taneytown,MD,39.665171,-77.17264,-5,1,"39.665171,-77.17264"
10,22560,Tappahannock,VA,37.916171999999996,-76.90656,-5,1,"37.916172,-76.90656"
11,22812,Bridgewater,VA,38.398049,-79.00071,-5,1,"38.398049,-79.00071"
12,21075,Elkridge,MD,39.197119,-76.75178000000002,-5,1,"39.197119,-76.75178"
13,28668,Roaring Gap,NC,36.388459999999995,-81.00733000000002,-5,1,"36.38846,-81.00733"
14,28786,Waynesville,NC,35.511094,-82.99606999999997,-5,1,"35.511094,-82.99607"
15,29650,Greer,SC,34.911469,-82.25178000000002,-5,1,"34.911469,-82.25178"
16,24256,Haysi,VA,37.213189,-82.29759,-5,1,"37.213189,-82.29759"
17,24285,Stonega,VA,36.953228,-82.79025,-5,1,"36.953228,-82.79025"
18,78615,Coupland,TX,30.460372999999997,-97.3935,-6,1,"30.460373,-97.3935"
19,79358,Ropesville,TX,33.425342,-102.16505,-6,1,"33.425342,-102.16505"
20,82433,Meeteetse,WY,44.20528,-108.92718,-7,1,"44.20528,-108.92718"
21,70879,Baton Rouge,LA,30.515890000000002,-91.080373,-6,1,"30.51589,-91.080373"
22,71120,Shreveport,LA,32.607556,-93.75256,-6,1,"32.607556,-93.75256"
23,72567,Pleasant Grove,AR,35.819261,-91.88291,-6,1,"35.819261,-91.88291"
24,74068,Shamrock,OK,35.91040800000001,-96.57768,-6,1,"35.910408,-96.57768"
25,87040,Paguate,NM,35.132003999999995,-107.36563999999998,-7,1,"35.132004,-107.36564"
26,87187,Albuquerque,NM,35.044339,-106.672872,-7,1,"35.044339,-106.672872"
27,89113,Las Vegas,NV,36.067495,-115.26038999999999,-8,1,"36.067495,-115.26039"
28,90056,Los Angeles,CA,33.986212,-118.37098999999999,-8,1,"33.986212,-118.37099"
29,98438,Tacoma,WA,47.151297,-122.567631,-8,1,"47.151297,-122.567631"
30,91356,Tarzana,CA,34.164255,-118.54472,-8,1,"34.164255,-118.54472"
31,92513,Riverside,CA,33.752886,-116.055617,-8,1,"33.752886,-116.055617"
32,92663,Newport Beach,CA,33.619221,-117.93087,-8,1,"33.619221,-117.93087"
33,92832,Fullerton,CA,33.869114,-117.92985,-8,1,"33.869114,-117.92985"
34,74761,Swink,OK,34.01528,-95.20104,-6,1,"34.01528,-95.20104"
35,76161,Fort Worth,TX,32.771419,-97.291484,-6,1,"32.771419,-97.291484"
36,83650,Murphy,ID,43.135267,-116.46583999999999,-7,1,"43.135267,-116.46584"
37,43036,Magnetic Springs,OH,40.353133,-83.26289,-5,1,"40.353133,-83.26289"
38,61041,Hanover,IL,42.270426,-90.31076999999999,-6,1,"42.270426,-90.31077"
39,62683,Scottville,IL,39.260862,-89.926068,-6,1,"39.260862,-89.926068"
40,56032,Freeborn,MN,43.766208,-93.56339,-6,1,"43.766208,-93.56339"
41,57785,Sturgis,SD,44.409616,-103.46597,-7,1,"44.409616,-103.46597"
42,46126,Fairland,IN,39.61753,-85.88003,-5,0,"39.61753,-85.88003"
43,46142,Greenwood,IN,39.62068,-86.15126,-5,0,"39.62068,-86.15126"
44,46504,Bourbon,IN,41.301049,-86.1114,-5,0,"41.301049,-86.1114"
45,47535,Freelandville,IN,38.867886,-87.30865,-5,0,"38.867886,-87.30865"
46,48455,Metamora,MI,42.938891,-83.29409,-5,1,"42.938891,-83.29409"
47,49724,Dafter,MI,46.33614,-84.43525,-5,1,"46.33614,-84.43525"
48,1886,Westford,MA,42.592086,-71.43754,-5,1,"42.592086,-71.43754"
49,2358,North Pembroke,MA,41.805219,-70.62642,-5,1,"41.805219,-70.62642"
50,62270,Dupo,IL,38.227604,-89.65038100000002,-6,1,"38.227604,-89.650381"
51,56311,Barrett,MN,45.902998,-95.88297,-6,1,"45.902998,-95.88297"
52,58124,Fargo,ND,46.934596,-97.229718,-6,1,"46.934596,-97.229718"
53,62662,Lowder,IL,39.749457,-89.60601700000002,-6,1,"39.749457,-89.606017"
54,64464,Polk,MO,40.024499,-94.551058,-6,1,"40.024499,-94.551058"
55,72721,Combs,AR,35.829657,-93.8354,-6,1,"35.829657,-93.8354"
56,73005,Anadarko,OK,35.050671,-98.23984,-6,1,"35.050671,-98.23984"
57,79338,Levelland,TX,33.593213,-102.362709,-6,1,"33.593213,-102.362709"
58,97711,Ashwood,OR,44.738812,-120.75256999999999,-8,1,"44.738812,-120.75257"
